fear,♊,1
joy,,54368
joy,✅,5
trust,⃣,39
surprise,⛽,5
sadness,☔,28
anger,✊,31
anger,✨,20
sadness,⚽,20
anger,↗,5
fear,✌,456
disgust-hate,⌚,7
surprise,↘,2
anger,⛵,1
joy,✒,1
fear,❓,11
surprise,☕,48
sadness,4,2
anger,⛳,1
disgust-hate,⭕,3
surprise,⛪,3
surprise,⛳,2
sadness,?,100760
fear,✋,97
disgust-hate,♻,2
joy,⭐,9
joy,❔,1
trust,☃,1
sadness,⛄,50
disgust-hate,✂,7
joy,❄,71
joy,♏,1
anticipation,⏰,1
surprise,⏰,7
joy,9,2
surprise,✍,7
sadness,✈,32
anger,♻,1
fear,↖,2
anticipation,♻,1
anger,[,1
anger,☝,63
disgust-hate,⛅,8
disgust-hate,❔,19
trust,☀,158
trust,▪,3
anticipation,✋,18
anticipation,⭐,2
surprise,[,1
sadness,✋,52
anger,?,138372
joy,3,3
anticipation,❔,6
surprise,✔,10
trust,⛲,2
anger,⚓,2
trust,3,4
surprise,❔,15
fear,⛄,153
fear,❌,24
disgust-hate,☑,1
joy,7,2
joy,⚠,3
fear,❄,232
fear,⌛,3
joy,⛪,4
anger,♥,1
joy,❌,17
joy,1,6
anticipation,™,1
surprise,4,5
anticipation,✌,74
fear,❤,2860
anticipation,☹,1
sadness,☎,2
anger,↙,4
